name,born,position,debut,stats
Robert Lindsay-Watson,"
October 4, 1886, Hawick
   ", Wing,"Scotland v Ireland at Inverleith, Feb 27, 1909 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
John MacGregor,"
August 27, 1885, Pontypridd
   ", Fly-half,"Scotland v Ireland at Inverleith, Feb 27, 1909 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Jimmy Pearson,"
February 24, 1889, Edinburgh
   ", Centre,"Scotland v Ireland at Inverleith, Feb 27, 1909 ","{'Mat': '12', 'Start': '12', 'Sub': '0', 'Pts': '10', 'Tries': '1', 'Conv': '0', 'Pens': '1', 'Drop': '1', 'GfM': '0', 'Won': '6', 'Lost': '6', 'Draw': '0'}"
Charles Stuart,"
May 18, 1887, Glasgow
   ", Forward,"Scotland v Ireland at Inverleith, Feb 27, 1909 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '4', 'Draw': '0'}"
Alexander Moodie,"
September 30, 1886, Balmuirfield, Dundee
   ", Forward,"England v Scotland at Richmond, Mar 20, 1909 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '0'}"
James Reid-Kerr,"
December 4, 1883, Greenock
   ", Forward,"England v Scotland at Richmond, Mar 20, 1909 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Fletcher Buchanan,"
December 23, 1889, Glasgow
   ", Centre,"Scotland v France at Inverleith, Jan 22, 1910 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '2', 'Draw': '0'}"
Ian Robertson,"
February 3, 1887, ?
   ", Wing,"Scotland v France at Inverleith, Jan 22, 1910 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '6', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Robert Stevenson,"
February 12, 1886, Perth
   ", Forward,"Scotland v France at Inverleith, Jan 22, 1910 ","{'Mat': '9', 'Start': '9', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '6', 'Draw': '0'}"
Puss Milroy,"
December 4, 1887, Edinburgh
   ", Scrum-half,"Wales v Scotland at Cardiff, Feb 5, 1910 ","{'Mat': '12', 'Start': '12', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '9', 'Draw': '0'}"
Walter Sutherland,"
November 19, 1890, Hawick
   ", Wing,"Wales v Scotland at Cardiff, Feb 5, 1910 ","{'Mat': '13', 'Start': '13', 'Sub': '0', 'Pts': '12', 'Tries': '4', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '4', 'Lost': '9', 'Draw': '0'}"
Cecil Abercrombie,"
April 12, 1886, Mozufferpore
   ", Forward,"Ireland v Scotland at Belfast, Feb 26, 1910 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '4', 'Draw': '0'}"
Jimmy Dobson,"
November 23, 1888, Cathcart, Glasgow
   ", Wing,"Ireland v Scotland at Belfast, Feb 26, 1910 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
Andrew Lindsay,"
July 19, 1885, Otepopo
   ", Scrum-half,"Ireland v Scotland at Belfast, Feb 26, 1910 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
Donald Macpherson,"
July 23, 1882, Waimate
   ", Wing,"New Zealand v Australia at Dunedin, Sep 2, 1905 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '1', 'Draw': '0'}"
Rowland Fraser,"
January 10, 1890, Perth
   ", Prop,"France v Scotland at Colombes, Jan 2, 1911 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '4', 'Draw': '0'}"
Frank Osler,"
February 10, 1888, Riversdale
   ", Scrum-half,"France v Scotland at Colombes, Jan 2, 1911 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
Alexander Stevenson,"
October 30, 1885, Glasgow
   ", Forward,"France v Scotland at Colombes, Jan 2, 1911 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Borth Todd,"
October 28, 1888, Inverleithin, Peebles
   ", Fullback,"France v Scotland at Colombes, Jan 2, 1911 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Freddie Turner,"
May 29, 1888, Sefton Pk, Liverpool
   ", Flanker,"France v Scotland at Colombes, Jan 2, 1911 ","{'Mat': '15', 'Start': '15', 'Sub': '0', 'Pts': '37', 'Tries': '3', 'Conv': '14', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '4', 'Lost': '11', 'Draw': '0'}"
Thomas Young,"
February 6, 1891, Hartlepool
   ", Centre,"France v Scotland at Colombes, Jan 2, 1911 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Donald Grant,"
December 30, 1892, Burma
   ", Wing,"Scotland v Wales at Inverleith, Feb 4, 1911 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
John Macdonald,"
December 7, 1890, ?
   ", Wing,"Scotland v Wales at Inverleith, Feb 4, 1911 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Andrew Ross,"
January 13, 1892, Juniper Green, Edinbu
   ", Lock,"Scotland v Wales at Inverleith, Feb 4, 1911 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '4', 'Draw': '0'}"
Andrew Greig,"
October 27, 1889, Kelvin, Glasgow
   ", Fullback,"Scotland v Ireland at Inverleith, Feb 25, 1911 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Carl Ogilvy,"
June 13, 1889, ?
   ", Fullback,"Scotland v Ireland at Inverleith, Feb 25, 1911 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '3', 'Draw': '0'}"
David Bain,"
September 10, 1891, Edinburgh
   ", Prop,"England v Scotland at Twickenham, Mar 18, 1911 ","{'Mat': '11', 'Start': '11', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '4', 'Lost': '7', 'Draw': '0'}"
John Dobson,"
September 6, 1886, ?
   ", Hooker,"England v Scotland at Twickenham, Mar 18, 1911 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '4', 'Draw': '0'}"
JY Henderson,"
March 9, 1891, Edinburgh
   ", Fly-half,"England v Scotland at Twickenham, Mar 18, 1911 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
William Hutchison,"
January 16, 1889, Glasgow
   ", Lock,"England v Scotland at Twickenham, Mar 18, 1911 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
Ronald Simson,"
September 6, 1890, Edinburgh
   ", Centre,"England v Scotland at Twickenham, Mar 18, 1911 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '1', 'Draw': '0'}"
