name,born,position,debut,stats
Alain Lorieux,"
March 26, 1956, La Tronche
   ", Lock,"Australia v France at Brisbane, Jul 5, 1981 ","{'Mat': '30', 'Start': '29', 'Sub': '1', 'Pts': '12', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '20', 'Lost': '9', 'Draw': '1', '%': '68.33'}"
Laurent Rodriguez,"
June 25, 1960, Poitiers
   ", Back-row,"Australia v France at Brisbane, Jul 5, 1981 ","{'Mat': '56', 'Start': '56', 'Sub': '0', 'Pts': '28', 'Tries': '7', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '29', 'Lost': '24', 'Draw': '3', '%': '54.46'}"
Adrien Mournet,"
July 5, 1953, Galan
   ", Scrum-half,"Australia v France at Brisbane, Jul 5, 1981 ","{'Mat': '1', 'Start': '0', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '0', 'Lost': '1', 'Draw': '0', '%': '0.00'}"
Marc Sallefranque,"
April 6, 1960, Dax
   "," Fullback, Fly-half","Australia v France at Sydney, Jul 11, 1981 ","{'Mat': '4', 'Start': '4', 'Sub': '0', 'Pts': '19', 'Tries': '0', 'Conv': '2', 'Pens': '4', 'Drop': '1', 'Won': '0', 'Lost': '4', 'Draw': '0', '%': '0.00'}"
Jean-Patrick Lescarboura,"
January 19, 1961, Monein
   ", Fly-half,"Wales v France at Cardiff, Feb 6, 1982 ","{'Mat': '28', 'Start': '28', 'Sub': '0', 'Pts': '200', 'Tries': '6', 'Conv': '19', 'Pens': '31', 'Drop': '15', 'Won': '13', 'Lost': '12', 'Draw': '3', '%': '51.78'}"
Gerard Martinez,"
March 30, 1955, Montrejeau
   ", Scrum-half,"Wales v France at Cardiff, Feb 6, 1982 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '3', 'Tries': '0', 'Conv': '0', 'Pens': '1', 'Drop': '0', 'Won': '4', 'Lost': '3', 'Draw': '0', '%': '57.14'}"
Patrick Perrier,"
January 20, 1957, Bayonne
   ", Centre,"Wales v France at Cardiff, Feb 6, 1982 ","{'Mat': '4', 'Start': '3', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '1', 'Lost': '3', 'Draw': '0', '%': '25.00'}"
Didier Camberabero,"
January 9, 1961, Valence
   "," Fullback, Wing, Fly-half","Romania v France at Bucharest, Oct 31, 1982 ","{'Mat': '36', 'Start': '34', 'Sub': '2', 'Pts': '354', 'Tries': '12', 'Conv': '48', 'Pens': '59', 'Drop': '11', 'Won': '24', 'Lost': '12', 'Draw': '0', '%': '66.66'}"
Pierre Chadebech,"
May 3, 1959, Ussel
   ", Centre,"Romania v France at Bucharest, Oct 31, 1982 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '3', 'Lost': '2', 'Draw': '0', '%': '60.00'}"
Jean Condom,"
August 15, 1960, Saint-Andre-de-Seign
   ", Lock,"Romania v France at Bucharest, Oct 31, 1982 ","{'Mat': '61', 'Start': '60', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '38', 'Lost': '19', 'Draw': '4', '%': '65.57'}"
Patrick Esteve,"
February 14, 1959, Lavelanet
   ", Wing,"Romania v France at Bucharest, Oct 31, 1982 ","{'Mat': '25', 'Start': '25', 'Sub': '0', 'Pts': '48', 'Tries': '12', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '15', 'Lost': '6', 'Draw': '4', '%': '68.00'}"
Philippe Sella,"
February 14, 1962, Tonneins
   "," Wing, Centre","Romania v France at Bucharest, Oct 31, 1982 ","{'Mat': '111', 'Start': '110', 'Sub': '1', 'Pts': '125', 'Tries': '30', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '70', 'Lost': '36', 'Draw': '5', '%': '65.31'}"
Thierry Janeczek,"
August 4, 1959, St-Denis-du-Sig
   ", Flanker,"France v Argentina at Toulouse, Nov 14, 1982 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '2', 'Lost': '1', 'Draw': '0', '%': '66.66'}"
Jean-Charles Orso,"
January 6, 1958, Cannes
   "," Lock, No. 8","France v Argentina at Toulouse, Nov 14, 1982 ","{'Mat': '11', 'Start': '9', 'Sub': '2', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '7', 'Lost': '2', 'Draw': '2', '%': '72.72'}"
Jacques Begu,"
April 22, 1957, Dax
   ", Wing,"France v Argentina at Parc des Princes, Nov 20, 1982 ","{'Mat': '3', 'Start': '2', 'Sub': '1', 'Pts': '8', 'Tries': '2', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '2', 'Lost': '1', 'Draw': '0', '%': '66.66'}"
Christian Delage,"
January 16, 1954, Brive-la-Gaillarde
   ", Fly-half,"France v Scotland at Parc des Princes, Feb 5, 1983 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '1', 'Lost': '1', 'Draw': '0', '%': '50.00'}"
Jean-Louis Dupont,"
March 17, 1956, Beaumont-de-Lomagne
   ", Hooker,"France v Scotland at Parc des Princes, Feb 5, 1983 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '1', 'Lost': '0', 'Draw': '0', '%': '100.00'}"
Bernard Herrero,"
September 19, 1957, Toulon
   ", Hooker,"Ireland v France at Lansdowne Road, Feb 19, 1983 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '0', 'Lost': '2', 'Draw': '0', '%': '0.00'}"
Jean-Pierre Garuet-Lempirou,"
June 15, 1953, Lourdes
   ", Prop,"France v Australia at Clermont-Ferrand, Nov 13, 1983 ","{'Mat': '42', 'Start': '41', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '24', 'Lost': '14', 'Draw': '4', '%': '61.90'}"
Jean-Baptiste Lafond,"
December 29, 1961, Neuilly-sur-Seine
   "," Fullback, Wing","France v Australia at Clermont-Ferrand, Nov 13, 1983 ","{'Mat': '36', 'Start': '32', 'Sub': '4', 'Pts': '101', 'Tries': '14', 'Conv': '7', 'Pens': '8', 'Drop': '2', 'Won': '26', 'Lost': '9', 'Draw': '1', '%': '73.61'}"
Patrice Lagisquet,"
September 4, 1962, Arcachon
   ", Wing,"France v Australia at Clermont-Ferrand, Nov 13, 1983 ","{'Mat': '46', 'Start': '45', 'Sub': '1', 'Pts': '80', 'Tries': '20', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '27', 'Lost': '17', 'Draw': '2', '%': '60.86'}"
Pierre-Edouard Detrez,"
June 17, 1956, Paris
   ", Prop,"France v Australia at Parc des Princes, Nov 19, 1983 ","{'Mat': '5', 'Start': '2', 'Sub': '3', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '2', 'Lost': '3', 'Draw': '0', '%': '40.00'}"
Jacques Gratton,"
November 29, 1957, Lectoure
   ", Flanker,"New Zealand v France at Auckland, Jun 23, 1984 ","{'Mat': '10', 'Start': '10', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '4', 'Lost': '4', 'Draw': '2', '%': '50.00'}"
Eric Bonneval,"
November 19, 1963, Toulouse
   "," Wing, Centre","New Zealand v France at Auckland, Jun 23, 1984 ","{'Mat': '18', 'Start': '17', 'Sub': '1', 'Pts': '32', 'Tries': '8', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '13', 'Lost': '5', 'Draw': '0', '%': '72.22'}"
Bernard Lavigne,"
August 23, 1954, Castillonnes
   ", Wing,"Romania v France at Bucharest, Nov 10, 1984 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '1', 'Lost': '0', 'Draw': '1', '%': '75.00'}"
Eric Champ,"
June 8, 1962, Toulon
   ", Flanker,"Argentina v France at Buenos Aires, Jun 22, 1985 ","{'Mat': '42', 'Start': '42', 'Sub': '0', 'Pts': '12', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '30', 'Lost': '11', 'Draw': '1', '%': '72.61'}"
Herve Chabowski,"
August 20, 1959, Cavaillon
   ", Prop,"Argentina v France at Buenos Aires, Jun 29, 1985 ","{'Mat': '4', 'Start': '3', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '2', 'Lost': '2', 'Draw': '0', '%': '50.00'}"
Thierry Picard,"
November 10, 1956, Saint-Sauves-d'Auver
   "," Lock, No. 8","Argentina v France at Buenos Aires, Jun 29, 1985 ","{'Mat': '3', 'Start': '2', 'Sub': '1', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '3', 'Lost': '0', 'Draw': '0', '%': '100.00'}"
Philippe Marocco,"
June 14, 1960, Cintegabelle
   "," Prop, Hooker","Scotland v France at Murrayfield, Jan 18, 1986 ","{'Mat': '21', 'Start': '19', 'Sub': '2', 'Pts': '4', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '14', 'Lost': '7', 'Draw': '0', '%': '66.66'}"
Denis Charvet,"
May 12, 1962, Cahors
   "," Wing, Centre","Wales v France at Cardiff, Mar 1, 1986 ","{'Mat': '23', 'Start': '22', 'Sub': '1', 'Pts': '27', 'Tries': '6', 'Conv': '0', 'Pens': '1', 'Drop': '0', 'Won': '16', 'Lost': '6', 'Draw': '1', '%': '71.73'}"
Jerome Bianchi,"
July 31, 1961, Pau
   ", Fullback,"Argentina v France at Buenos Aires, May 31, 1986 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '0', 'Lost': '1', 'Draw': '0', '%': '0.00'}"
Marc Andrieu,"
September 19, 1959, Carmaux
   "," Wing, Centre","Argentina v France at Buenos Aires, Jun 7, 1986 ","{'Mat': '26', 'Start': '25', 'Sub': '1', 'Pts': '24', 'Tries': '6', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '18', 'Lost': '8', 'Draw': '0', '%': '69.23'}"
Claude Portolan,"
December 16, 1960, Auterive
   ", Prop,"Australia v France at Sydney, Jun 21, 1986 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '1', 'Lost': '2', 'Draw': '0', '%': '33.33'}"
Patrick Serriere,"
July 7, 1960, Saint-Cloud
   ", Lock,"Australia v France at Sydney, Jun 21, 1986 ","{'Mat': '3', 'Start': '3', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '2', 'Lost': '1', 'Draw': '0', '%': '66.66'}"
Philippe Berot,"
January 29, 1965, Tarbes
   "," Fullback, Wing","Romania v France at Bucharest, Oct 23, 1986 ","{'Mat': '19', 'Start': '19', 'Sub': '0', 'Pts': '159', 'Tries': '3', 'Conv': '24', 'Pens': '33', 'Drop': '0', 'Won': '14', 'Lost': '5', 'Draw': '0', '%': '73.68'}"
Alain Carminati,"
August 17, 1966, Champagnole
   ", Back-row,"Romania v France at Bucharest, Oct 23, 1986 ","{'Mat': '20', 'Start': '19', 'Sub': '1', 'Pts': '14', 'Tries': '3', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'Won': '14', 'Lost': '6', 'Draw': '0', '%': '70.00'}"
Franck Mesnel,"
June 30, 1961, Neuilly-sur-Seine
   "," Centre, Fly-half","France v New Zealand at Toulouse, Nov 8, 1986 ","{'Mat': '56', 'Start': '54', 'Sub': '2', 'Pts': '41', 'Tries': '8', 'Conv': '0', 'Pens': '0', 'Drop': '3', 'Won': '38', 'Lost': '17', 'Draw': '1', '%': '68.75'}"
